date,strategy,symbol,event,side,price,entry_price,signed_weight,stop_level,take_level,stop_pct,take_pct,trailing_pct
2026-09-10,V12_LS_70_30_StopVol,TRIA,STOP_GAP,SHORT,0.003536,0.004378,-0.012260758126236357,0.003463408599188658,0.002235347850719709,,,
2026-09-10,V12_LS_70_30_StopVol,VVV,ENTRY,LONG,22.645,22.645,0.032101965124164945,,,0.21805518674402607,0.43611037348805215,0.13083311204641562
2026-09-10,V12_LS_70_30_StopVol,ZEC,STOP_INTRADAY,LONG,1145.5353282622339,1139.94,0.03591304275860243,1145.5353282622339,1588.8507464735676,,,
2026-09-11,V12_LS_50_50,BEAT,STOP_INTRADAY,SHORT,0.094625,0.1319,-0.05,0.094625,0.03957,,,
2026-09-11,V12_LS_50_50,CASHCAT,ENTRY,SHORT,0.16376,0.16376,-0.05,,,0.35,0.7,0.2195003128609509
2026-09-11,V12_LS_50_50,DOT,STOP_INTRADAY,LONG,1.041885316446701,1.1212,0.05,1.041885316446701,1.4141523314166562,,,
2026-09-11,V12_LS_50_50,EDEN,ENTRY,SHORT,0.0492,0.0492,-0.05,,,0.35,0.7,0.2163431885804232
2026-09-11,V12_LS_50_50,FARTCOIN,ENTRY,SHORT,0.1381,0.1381,-0.05,,,0.17936176645046817,0.35872353290093634,0.10761705987028089
2026-09-11,V12_LS_50_50,FARTCOIN,STOP_INTRADAY,SHORT,0.15296191596808578,0.1381,-0.05,0.15296191596808578,0.08856028010638069,,,
2026-09-11,V12_LS_50_50,NEAR,ENTRY,LONG,2.441,2.441,0.05,,,0.12363396296960684,0.24726792593921368,0.0741803777817641
2026-09-11,V12_LS_50_50,ZEN,ENTRY,LONG,6.527,6.527,0.05,,,0.16656380356371042,0.33312760712742084,0.09993828213822625
2026-09-11,V12_LS_50_50_StopVol,BEAT,STOP_INTRADAY,SHORT,0.094625,0.1319,-0.014513683486559889,0.094625,0.03957,,,
2026-09-11,V12_LS_50_50_StopVol,CASHCAT,ENTRY,SHORT,0.16376,0.16376,-0.013667406487481597,,,0.35,0.7,0.2195003128609509
2026-09-11,V12_LS_50_50_StopVol,DOT,STOP_INTRADAY,LONG,1.041885316446701,1.1212,0.03821180846680544,1.041885316446701,1.4141523314166562,,,
2026-09-11,V12_LS_50_50_StopVol,EDEN,ENTRY,SHORT,0.0492,0.0492,-0.013866856727429544,,,0.35,0.7,0.2163431885804232
2026-09-11,V12_LS_50_50_StopVol,FARTCOIN,ENTRY,SHORT,0.1381,0.1381,-0.027876621082346332,,,0.17936176645046817,0.35872353290093634,0.10761705987028089
