timestamp,open,high,low,close,volume,symbol,interval,source
2026-03-07T00:00:00Z,68114.02000000,68394.09000000,68105.73000000,68290.45000000,653.38105000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T01:00:00Z,68290.46000000,68369.11000000,68180.95000000,68262.01000000,316.06145000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T02:00:00Z,68262.01000000,68367.73000000,68060.60000000,68350.04000000,316.96409000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T03:00:00Z,68350.05000000,68551.04000000,68095.50000000,68095.50000000,450.32011000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T04:00:00Z,68095.50000000,68147.73000000,67817.00000000,68063.43000000,621.66509000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T05:00:00Z,68063.42000000,68140.49000000,67908.00000000,68018.26000000,493.88772000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T06:00:00Z,68018.27000000,68021.14000000,67612.21000000,67690.86000000,489.36583000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T07:00:00Z,67690.86000000,67865.23000000,67446.41000000,67842.67000000,768.74899000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T08:00:00Z,67842.67000000,68045.07000000,67720.98000000,67795.40000000,465.95331000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T09:00:00Z,67795.40000000,68074.97000000,67738.31000000,68000.00000000,332.46219000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T10:00:00Z,68000.00000000,68102.73000000,67870.43000000,67880.31000000,319.42039000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T11:00:00Z,67880.31000000,68232.27000000,67841.67000000,68010.01000000,372.24149000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T12:00:00Z,68010.00000000,68085.41000000,67900.01000000,67992.54000000,359.03867000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T13:00:00Z,67992.54000000,68081.16000000,67855.82000000,67931.06000000,318.23636000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T14:00:00Z,67931.06000000,68083.79000000,67609.44000000,68016.70000000,473.27443000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T15:00:00Z,68016.70000000,68034.67000000,67769.89000000,67877.45000000,577.84468000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
2026-03-07T16:00:00Z,67877.45000000,67889.68000000,67702.20000000,67783.63000000,349.26910000,BTC-USDT,1h,BINANCE_SPOT_PUBLIC_KLINES_RESEARCH_ONLY
