family,asset,param,horizon,qualified,reasons,n,net,stress,delay,top5,sample
H164,WIN,z1.0_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,423,-6.164104456579839,-7.16410445657984,-1.8890879820021242,0.08246068387513462,REPLICATION
H164,WIN,z1.5_inverse,60,False,DELAY|CALENDAR,292,2.068224713287234,1.0682247132872338,-4.128816437701437,0.11489326793296317,REPLICATION
H164,WIN,z1.5_inverse,120,False,DELAY|SIDES|CALENDAR,292,2.0277589817113197,1.0277589817113195,-3.0021386710895244,0.11248860517642928,REPLICATION
H164,WIN,z1.5_riskoff,60,False,EDGE|STRESS|SIDES|CALENDAR,292,-6.068224713287233,-7.068224713287233,0.12881643770143775,0.13718502035292768,REPLICATION
H164,WIN,z1.5_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,292,-6.027758981711321,-7.027758981711321,-0.9978613289104764,0.11402322351663984,REPLICATION
H165,WDO,z1.0_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,195,-1.119519146714183,-2.119519146714183,-2.3535269577057707,0.16806231586853085,DISCOVERY
H165,WDO,z1.0_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,195,-2.4468378082064794,-3.44683780820648,-3.4743813752984702,0.1995788296181765,DISCOVERY
H165,WDO,z1.0_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,195,-1.880480853285817,-2.8804808532858166,-0.6464730422942286,0.17324207981478343,DISCOVERY
H165,WDO,z1.0_stress,120,False,EDGE|STRESS|SIDES|CALENDAR,195,-0.5531621917935207,-1.5531621917935206,0.4743813752984702,0.18402380245625405,DISCOVERY
H165,WDO,z1.5_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,146,-1.1002497622301322,-2.1002497622301326,-2.7468130421798884,0.20711282730538366,DISCOVERY
H165,WDO,z1.5_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,146,-1.5698780449908094,-2.569878044990809,-2.508134335487025,0.2234899777927863,DISCOVERY
H165,WDO,z1.5_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,146,-1.8997502377698678,-2.8997502377698683,-0.2531869578201118,0.21331754692289284,DISCOVERY
H165,WDO,z1.5_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,146,-1.4301219550091913,-2.430121955009191,-0.49186566451297475,0.23635861007036169,DISCOVERY
H165,WIN,z1.0_inverse,60,False,DELAY|SIDES|CALENDAR,195,2.690399720313051,1.6903997203130512,-3.686149051138955,0.12564132914931955,DISCOVERY
H165,WIN,z1.0_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,195,-0.10826871130757587,-1.108268711307577,-5.712687663207038,0.1483276030076275,DISCOVERY
H165,WIN,z1.0_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,195,-6.690399720313052,-7.690399720313052,-0.31385094886104464,0.1828247927784694,DISCOVERY
H165,WIN,z1.0_riskoff,120,False,EDGE|STRESS|SIDES|CALENDAR,195,-3.8917312886924242,-4.891731288692424,1.7126876632070376,0.1678565386056577,DISCOVERY
H165,WIN,z1.5_inverse,60,False,DELAY,146,4.367127260535039,3.367127260535039,-2.556937252845582,0.14624201290017938,DISCOVERY
H165,WIN,z1.5_inverse,120,False,DELAY|SIDES|CALENDAR,146,2.8217697810289177,1.8217697810289173,-3.1932129101966535,0.17722923622474696,DISCOVERY
H165,WIN,z1.5_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,146,-8.36712726053504,-9.36712726053504,-1.4430627471544177,0.24649604008882625,DISCOVERY
H165,WIN,z1.5_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,146,-6.821769781028918,-7.821769781028918,-0.8067870898033469,0.22200215810214638,DISCOVERY
H165,WDO,z1.0_inverse,60,False,DELAY|SIDES|CALENDAR,290,1.8071778306680173,0.8071778306680172,-1.5392014412019872,0.12673256844690844,REPLICATION
H165,WDO,z1.0_inverse,120,False,STRESS|SIDES|CALENDAR,290,0.4391994422560985,-0.5608005577439018,0.4018924421978425,0.11556752463507793,REPLICATION
H165,WDO,z1.0_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,290,-4.807177830668018,-5.807177830668018,-1.4607985587980126,0.11172792071177337,REPLICATION
H165,WDO,z1.0_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,290,-3.4391994422560987,-4.439199442256098,-3.401892442197842,0.1057105933900233,REPLICATION
H165,WDO,z1.5_inverse,60,False,SIDES|CALENDAR,179,4.553216030783706,3.5532160307837066,3.628218290774032,0.18591987666196688,REPLICATION
H165,WDO,z1.5_inverse,120,False,CALENDAR,179,5.36103085305346,4.361030853053462,6.85380252138154,0.16175892317609877,REPLICATION
H165,WDO,z1.5_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,179,-7.553216030783708,-8.553216030783707,-6.628218290774034,0.19127544241677166,REPLICATION
H165,WDO,z1.5_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,179,-8.36103085305346,-9.361030853053462,-9.853802521381539,0.17293742409473972,REPLICATION
H165,WIN,z1.0_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,290,-1.5492752307134017,-2.5492752307134015,-3.997099000386513,0.14217874774129888,REPLICATION
H165,WIN,z1.0_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,290,-7.408261659781661,-8.408261659781662,-9.227791891149293,0.11470603452642511,REPLICATION
H165,WIN,z1.0_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,290,-2.450724769286598,-3.450724769286598,-0.0029009996134877368,0.13086129484911396,REPLICATION
H165,WIN,z1.0_riskoff,120,False,CALENDAR,290,3.40826165978166,2.4082616597816604,5.227791891149293,0.10427464375888709,REPLICATION
H165,WIN,z1.5_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,179,-0.9040348855320652,-1.9040348855320655,-2.608156843011625,0.21218470088310906,REPLICATION
H165,WIN,z1.5_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,179,-5.639063014783223,-6.639063014783223,-6.099364782596577,0.1726840766872849,REPLICATION
H165,WIN,z1.5_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,179,-3.0959651144679348,-4.095965114467935,-1.3918431569883751,0.2098528732802426,REPLICATION
H165,WIN,z1.5_riskoff,120,False,SIDES|CALENDAR,179,1.639063014783223,0.6390630147832218,2.0993647825965778,0.1577173261302526,REPLICATION
H166,WDO,z1.0_inverse,60,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,26,-5.434870502138802,-6.434870502138802,-5.466215566220378,0.7608633363530724,DISCOVERY
H166,WDO,z1.0_inverse,120,False,MIN_TRADES|EDGE|STRESS|DELAY|SIDES|CALENDAR|CONCENTRATION,26,-2.69490372459947,-3.69490372459947,-5.193967488202924,0.8255639738002103,DISCOVERY
H166,WDO,z1.0_stress,60,False,MIN_TRADES|DELAY|SIDES|CALENDAR|CONCENTRATION,26,2.4348705021388017,1.4348705021388015,2.4662155662203777,0.6995496739812992,DISCOVERY
